periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,estimado
2000-2002,2000,2002,Bosque Estable,908114.27,454057.15,False
2000-2002,2000,2002,Deforestación,1590.3,795.1700000000001,False
2000-2002,2000,2002,No Bosque Estable,922549.82,461274.88,False
2000-2002,2000,2002,Regeneración,445.86,222.93,False
2000-2002,2000,2002,Sin Información,31326.16,15663.09,False
2002-2004,2002,2004,Bosque Estable,901514.15,450757.08999999997,False
2002-2004,2002,2004,Deforestación,3717.91,1858.96,False
2002-2004,2002,2004,No Bosque Estable,922302.48,461151.23,False
2002-2004,2002,2004,Sin Información,32888.619999999995,16444.33,False
2004-2006,2004,2006,Bosque Estable,905961.61,452980.8,False
2004-2006,2004,2006,Deforestación,3021.6499999999996,1510.85,False
2004-2006,2004,2006,No Bosque Estable,927605.62,463802.8,False
2004-2006,2004,2006,Regeneración,71.8,35.9,False
2004-2006,2004,2006,Sin Información,23761.980000000003,11881.0,False
2006-2008,2006,2008,Bosque Estable,898013.44,449006.72,False
2006-2008,2006,2008,Deforestación,2539.5099999999998,1269.75,False
2006-2008,2006,2008,No Bosque Estable,931731.55,465865.79000000004,False
2006-2008,2006,2008,Regeneración,4.2,2.1,False
2006-2008,2006,2008,Sin Información,28133.86,14066.94,False
2008-2010,2008,2010,Bosque Estable,906243.9,453121.97,False
2008-2010,2008,2010,Deforestación,2921.36,1460.67,False
2008-2010,2008,2010,No Bosque Estable,931794.1,465897.05,False
2008-2010,2008,2010,Regeneración,1.66,0.83,False
2008-2010,2008,2010,Sin Información,19465.55,9732.779999999999,False
2010-2012,2010,2012,Deforestación,3134.9,1567.46,True
2012-2013,2012,2013,Bosque Estable,878350.85,878350.85,False
2012-2013,2012,2013,Deforestación,2273.94,2273.94,False
2012-2013,2012,2013,No Bosque Estable,940070.91,940070.91,False
2012-2013,2012,2013,Sin Información,42027.3,42027.3,False
2013-2014,2013,2014,Bosque Estable,888711.2,888711.2,False
2013-2014,2013,2014,Deforestación,3576.9900000000002,3576.9900000000002,False
2013-2014,2013,2014,No Bosque Estable,958412.47,958412.47,False
2013-2014,2013,2014,Sin Información,12757.3,12757.3,False
2014-2015,2014,2015,Bosque Estable,849211.69,849211.69,False
2014-2015,2014,2015,Deforestación,2887.49,2887.49,False
2014-2015,2014,2015,No Bosque Estable,954868.68,954868.68,False
2014-2015,2014,2015,Regeneración,7.47,7.47,False
2014-2015,2014,2015,Sin Información,53216.07,53216.07,False
2015-2016,2015,2016,Bosque Estable,786820.49,786820.49,False
2015-2016,2015,2016,Deforestación,5771.04,5771.04,False
2015-2016,2015,2016,No Bosque Estable,954122.8,954122.8,False
2015-2016,2015,2016,Sin Información,117319.7,117319.7,False
2016-2017,2016,2017,Bosque Estable,776492.22,776492.22,False
2016-2017,2016,2017,Deforestación,3938.3900000000003,3938.3900000000003,False
2016-2017,2016,2017,No Bosque Estable,960603.26,960603.26,False
2016-2017,2016,2017,Regeneración,133.64,133.64,False
2016-2017,2016,2017,Sin Información,119265.75,119265.75,False
2017-2018,2017,2018,Bosque Estable,877157.53,877157.53,False
2017-2018,2017,2018,Deforestación,1765.1599999999999,1765.1599999999999,False
2017-2018,2017,2018,No Bosque Estable,970654.63,970654.63,False
2017-2018,2017,2018,Regeneración,61.04,61.04,False
2017-2018,2017,2018,Sin Información,10795.380000000001,10795.380000000001,False
2018-2019,2018,2019,Deforestación,1800.17,1800.17,True
2019-2020,2019,2020,Bosque Estable,871563.16,871563.16,False
2019-2020,2019,2020,Deforestación,1737.29,1737.29,False
2019-2020,2019,2020,No Bosque Estable,979291.16,979291.16,False
2019-2020,2019,2020,Sin Información,7843.63,7843.63,False
2020-2021,2020,2021,Bosque Estable,870258.52,870258.52,False
2020-2021,2020,2021,Deforestación,1090.76,1090.76,False
2020-2021,2020,2021,No Bosque Estable,981390.82,981390.82,False
2020-2021,2020,2021,Sin Información,7695.7,7695.7,False
2021-2022,2021,2022,Bosque Estable,857956.11,857956.11,False
2021-2022,2021,2022,Deforestación,2325.63,2325.63,False
2021-2022,2021,2022,No Bosque Estable,983841.36,983841.36,False
2021-2022,2021,2022,Sin Información,16310.5,16310.5,False
2022-2023,2022,2023,Bosque Estable,870305.22,870305.22,False
2022-2023,2022,2023,Deforestación,1156.22,1156.22,False
2022-2023,2022,2023,No Bosque Estable,988974.22,988974.22,False
2022-2023,2022,2023,Sin Información,10.56,10.56,False
2023-2024,2023,2024,Deforestación,1596.81,1596.81,True
